[Algeria] (25 players)
  Melvin Mastil                  | # 1 | GK   | Stade Nyonnais
  Aïssa Mandi                    | # 2 | CB   | Lille
  Achref Abada                   | # 3 | CB   | USM Alger
  Mohamed Amine Tougai           | # 4 | CB   | Espérance de Tunis
  Zineddine Belaïd               | # 5 | CB   | JS Kabylie
  Ramiz Zerrouki                 | # 6 | CM   | Twente
  Riyad Mahrez                   | # 7 | ST   | Al-Ahli
  Houssem Aouar                  | # 8 | CM   | Al-Ittihad
  Amine Gouiri                   | # 9 | ST   | Marseille
  Farès Chaïbi                   | #10 | CM   | Eintracht Frankfurt
  Anis Hadj Moussa               | #11 | ST   | Feyenoord
  Nadhir Benbouali               | #12 | ST   | Győri ETO
  Jaouen Hadjam                  | #13 | CB   | Young Boys
  Hicham Boudaoui                | #14 | CM   | Nice
  Oussama Benbot                 | #16 | GK   | USM Alger
  Rafik Belghali                 | #17 | CB   | Hellas Verona
  Mohamed Amoura                 | #18 | ST   | VfL Wolfsburg
  Nabil Bentaleb                 | #19 | CM   | Lille
  Adil Boulbina                  | #20 | ST   | Al-Duhail
  Ramy Bensebaini                | #21 | CB   | Borussia Dortmund
  Ibrahim Maza                   | #22 | CM   | Bayer Leverkusen
  Luca Zidane                    | #23 | GK   | Granada
  Yacine Titraoui                | #24 | CM   | Charleroi
  Farès Ghedjemis                | #25 | ST   | Frosinone
  Samir Chergui                  | #26 | CB   | Paris FC

[Argentina] (23 players)
  Juan Musso                     | # 1 | GK   | Atlético Madrid
  Leonardo Balerdi               | # 2 | CB   | Marseille
  Nicolás Tagliafico             | # 3 | CB   | Lyon
  Gonzalo Montiel                | # 4 | CB   | River Plate
  Leandro Paredes                | # 5 | CM   | Boca Juniors
  Rodrigo De Paul                | # 7 | CM   | Inter Miami CF
  Valentín Barco                 | # 8 | CM   | Strasbourg
  Julián Alvarez                 | # 9 | ST   | Atlético Madrid
  Lionel Messi                   | #10 | ST   | Inter Miami CF
  Giovani Lo Celso               | #11 | CM   | Real Betis
  Gerónimo Rulli                 | #12 | GK   | Marseille
  Cristian Romero                | #13 | CB   | Tottenham Hotspur
  Exequiel Palacios              | #14 | CM   | Bayer Leverkusen
  Nicolás González               | #15 | CM   | Atlético Madrid
  Thiago Almada                  | #16 | ST   | Atlético Madrid
  Giuliano Simeone               | #17 | ST   | Atlético Madrid
  Nico Paz                       | #18 | ST   | Como
  Nicolás Otamendi               | #19 | CB   | Benfica
  José Manuel López              | #21 | ST   | Palmeiras
  Lautaro Martínez               | #22 | ST   | Inter Milan
  Emiliano Martínez              | #23 | GK   | Aston Villa
  Facundo Medina                 | #25 | CB   | Marseille
  Nahuel Molina                  | #26 | CB   | Atlético Madrid

[Australia] (26 players)
  Mathew Ryan                    | # 1 | GK   | Levante
  Miloš Degenek                  | # 2 | CB   | APOEL
  Alessandro Circati             | # 3 | CB   | Parma
  Jacob Italiano                 | # 4 | CB   | GAK
  Jordan Bos                     | # 5 | CB   | Feyenoord
  Jason Geria                    | # 6 | CB   | Albirex Niigata
  Mathew Leckie                  | # 7 | ST   | Melbourne City
  Connor Metcalfe                | # 8 | CM   | FC St. Pauli
  Mohamed Touré                  | # 9 | ST   | Norwich City
  Ajdin Hrustic                  | #10 | ST   | Heracles Almelo
  Awer Mabil                     | #11 | ST   | Castellón
